name,company,year,price,kms_driven,fuel_type,,
YARIS 1.5 AT,TOYOTA,2020,3050000,24000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,24000,PETROL,,
CITY 1.3 AT,HONDA,2021,2750000,7000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2020,2900000,15900,PETROL,,
SORENTO 2.7 AWD,KIA,2021,,4500,PETROL,,
COROLLA GLI,TOYOTA,2013,1700000,95000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4150000,10000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2020,3950000,25000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,3000000,35000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6075000,4000,PETROL,,
REVO V AT,TOYOTA,2020,6900000,8000,DIESEL,,
CITY 1.3 AT,HONDA,2018,2650000,32000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,1900,PETROL,,
PICANTO 1.0 MT,KIA,2019,2085000,29000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2020,3950000,16000,PETROL,,
SPORTAGE AWD,KIA,2019,5450000,14600,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2018,8200000,42000,DIESEL,,
CITY 1.5 MT,HONDA,2011,1550000,97000,PETROL,,
CITY 1.5 ASPIRE,HONDA,2017,2575000,21000,PETROL,,
CIVIC 1.8 UG,HONDA,2014,3075000,108000,PETROL,,
CULTUS AGS,SUZUKI,2020,2225000,169000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2018,8300000,10000,DIESEL,,
FORTUNER 2.7,TOYOTA,2017,8700000,36000,PETROL,,
YARIS 1.3 AT,TOYOTA,2021,2850000,28000,PETROL,,
REVO G AT,TOYOTA,2019,6700000,144000,DIESEL,,
SORENTO 2.4 FWD,KIA,2021,,12100,PETROL,,
SPORTAGE AWD,KIA,2020,5490000,47000,PETROL,,
CIVIC 1.8 UG,HONDA,2015,2850000,60000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8550000,131000,PETROL,,
ALTO VXR AGS,SUZUKI,2018,1650000,67000,PETROL,,
BRV IVTEC MT,HONDA,2020,3100000,45000,PETROL,,
CITY 1.3 MT,HONDA,2012,1400000,24000,PETROL,,
CULTUS VXL,SUZUKI,2020,2150000,18000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3075000,20000,PETROL,,
CULTUS VXR,SUZUKI,2021,1925000,18000,PETROL,,
SPORTAGE ALPHA,KIA,2019,4475000,79000,PETROL,,
CITY 1.3 AT,HONDA,2016,2325000,85000,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4160000,2800,PETROL,,
COROLLA GLI,TOYOTA,2015,2200000,73500,PETROL,,
SPORTAGE FWD,KIA,2020,5075000,32500,PETROL,,
YARIS 1.3 MT,TOYOTA,2021,2800000,1000,PETROL,,
CIAZ 1.4 MT,SUZUKI,2017,2050000,70000,PETROL,,
CITY 1.3 MT,HONDA,2014,1575000,70000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2018,2400000,30000,PETROL,,
BRV IVTEC CVT,HONDA,2018,2950000,56000,PETROL,,
ALTO VXR,SUZUKI,2017,1400000,72500,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8725000,20000,PETROL,,
PICANTO 1.0 AT,KIA,2019,2225000,28500,PETROL,,
CITY 1.5 MT,HONDA,2013,1650000,62000,PETROL,,
ALTO VX,SUZUKI,2020,1360000,24500,PETROL,,
SPORTAGE AWD,KIA,2021,5700000,8600,PETROL,,
YARIS 1.3 AT,TOYOTA,2021,2850000,10000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2021,6350000,9400,PETROL,,
BRV IVTEC MT,HONDA,2017,2575000,88000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4300000,11500,PETROL,,
CULTUS VXL,SUZUKI,2020,2100000,19000,PETROL,,
REVO V AT,TOYOTA,2021,7200000,14200,DIESEL,,
BRV IVTEC S CVT,HONDA,2018,3150000,29000,PETROL,,
BRV IVTEC CVT,HONDA,2019,3150000,16900,PETROL,,
BRV IVTEC MT,HONDA,2018,2725000,57000,PETROL,,
SPORTAGE ALPHA,KIA,2019,4550000,34000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5925000,12700,PETROL,,
ELANTRA GLS ,HYUNDAI,2021,4175000,7900,PETROL,,
CULTUS VXR,SUZUKI,2018,1700000,49000,PETROL,,
REVO G AT,TOYOTA,2017,6350000,92000,DIESEL,,
CULTUS AGS,SUZUKI,2020,2275000,14000,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3100000,1000,PETROL,,
COROLLA GLI,TOYOTA,2011,,147000,PETROL,,
PICANTO 1.0 MT,KIA,2019,1975000,59000,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,9075000,10000,DIESEL,,
TUCSON FWD GLS SPORT,HYUNDAI,2021,6025000,9600,PETROL,,
CITY 1.5 MT,HONDA,2020,2500000,6100,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,8000,PETROL,,
SPORTAGE ALPHA,KIA,2021,4825000,12000,PETROL,,
CIVIC 1.8 UG,HONDA,2019,3850000,42000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2016,2900000,36000,PETROL,,
ALTO VXR,SUZUKI,2019,1430000,35300,PETROL,,
YARIS 1.5 MT,TOYOTA,2021,3050000,6000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2017,3600000,80000,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,11600,PETROL,,
REVO G MT,TOYOTA,2017,6375000,53000,DIESEL,,
CIAZ 1.4 AT,SUZUKI,2019,2475000,15000,PETROL,,
BRV IVTEC S CVT,HONDA,2018,3150000,39000,PETROL,,
YARIS 1.3 AT,TOYOTA,2020,2725000,13000,PETROL,,
ALTO VXR,SUZUKI,2018,1425000,52000,PETROL,,
ALTO VXR AGS,SUZUKI,2018,1740000,47500,PETROL,,
FORTUNER 2.8 SIGMA,TOYOTA,2019,9000000,20000,DIESEL,,
CULTUS AGS,SUZUKI,2018,2120000,28000,PETROL,,
COROLLA GLI,TOYOTA,2017,2550000,65000,PETROL,,
CITY 1.3 MT,HONDA,2020,2475000,11000,PETROL,,
CITY 1.3 AT,HONDA,2019,2625000,12500,PETROL,,
CIAZ 1.4 MT,SUZUKI,2019,2325000,14000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,2700,PETROL,,
COROLLA ALTIS,TOYOTA,2013,2150000,79000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2550000,42000,PETROL,,
REVO G AT,TOYOTA,2019,6625000,31000,DIESEL,,
CITY 1.5 MT,HONDA,2011,1550000,76000,PETROL,,
YARIS 1.3 AT,TOYOTA,2021,2900000,1000,PETROL,,
ALTO VXR,SUZUKI,2020,158000,19400,PETROL,,
REVO V AT,TOYOTA,2017,6400000,67000,DIESEL,,
CULTUS VXR,SUZUKI,2020,1860000,12000,PETROL,,
YARIS 1.5 MT,TOYOTA,2020,3050000,17000,PETROL,,
BRV IVTEC MT,HONDA,2020,3100000,16000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2019,4300000,28500,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4430000,3700,PETROL,,
CULTUS VXL,SUZUKI,2020,2100000,12900,PETROL,,
REVO G AT,TOYOTA,2019,6625000,24000,DIESEL,,
BRV IVTEC S CVT,HONDA,2021,3650000,6700,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,9000,PETROL,,
PICANTO 1.0 AT,KIA,2018,2175000,55000,PETROL,,
ALTO VXR,SUZUKI,2018,1450000,56000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8375000,40000,PETROL,,
SPORTAGE FWD,KIA,2020,5100000,22000,PETROL,,
COROLLA GLI,TOYOTA,2016,2150000,58000,PETROL,,
PICANTO 1.0 MT,KIA,2020,2145000,45000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2017,3600000,41000,PETROL,,
YARIS 1.5 AT,TOYOTA,2020,3300000,800,PETROL,,
PICANTO 1.0 AT,KIA,2020,2250000,8700,PETROL,,
SORENTO 2.4 FWD,KIA,2021,,8000,PETROL,,
CULTUS AGS,SUZUKI,2019,2080000,34000,PETROL,,
PICANTO 1.0 AT,KIA,2021,2375000,1300,PETROL,,
REVO G MT,TOYOTA,2017,6375000,56000,DIESEL,,
